415.56,236.54,417.21,249.79,417.31,256.69,417.97,274.02,420.15,277.92,418.58,282.04,418.53,278.47,432.14,264.85,428.72,248.25,424.56,235.92,440.37,221.66,436.43,214,441.52,213,442.63,211,445.62,213,369.96,210.99,379.3,210.96,374.86,219.03,373.85,234.15,377.13,248.87,376.09,263.91,382.59,266.39,382.07,268.02,381.61,278.43,379.05,283.97,376.87,294,381.54,286.45,380.72,279.97,358.17,266.03,345.43,242.89,348.27,228.77,335.7,221.91,333.99,209,333.36,202.87,327.09,206.97,334.87,209.04,325.86,204.97,360.37,196.01,331.08,198.94,338.69,192,320.75,184,311.52,183.49,314.43,183.59,316.75,186.23,322.24,191.8,323.52,199.01,322.22,197.71,322.78,202.22,318.3,218.8,321.35,220.64,347.28,218.82,357.5,222.37,368.27,228.97,373.94,240.06,356.77,266.93,338.02,285.01,318.29,292,355.82,279.1,350.45,277,301.06,270
440.27,220.09,440.38,229.95,439.03,234.97,436.96,251.03,440.58,256.42,441.1,263.9,442.02,263.99,454.43,251.68,452.42,240.12,448.79,230.1,461.6,215.39,459.81,213.08,464.69,212.99,467.31,211.28,468.6,216.62,399.79,206,409.04,204,399.79,201.18,396.56,211.56,395.51,225.46,394.98,240.43,402.88,243.21,403.2,246.8,405.13,260.85,402.53,267.34,401.84,282.22,407.97,277.02,408.17,273.06,385.94,262,374.54,237.9,376.57,221.99,363.12,213.02,361.19,198.83,361.79,193.93,355.44,198,362.54,199.42,354.66,198.32,385.69,187.1,360.71,194.27,368.43,190.03,353.14,185,342.16,182.15,345.75,181,346.64,181,351.31,183.71,350.89,188.04,349.67,186.26,349.6,188.36,342.59,200.53,344.07,201.02,367.64,204.36,378.06,208.98,388.06,211.93,390.44,221.57,376.5,251.62,362.27,272.74,346.41,284,377.43,267.9,372.21,269.95,331.09,272
467.07,209.02,465.24,214.97,461.01,213.99,454.47,227.52,459.35,233.72,460.27,241.78,463.4,243.58,473.77,232.25,474.23,226.88,471.3,219.75,482.03,206.96,480.51,206.48,486.88,211,490.54,211.45,491.7,220,431.13,208,440.23,202.03,428.94,194.04,422.33,195.96,417.34,204.58,412.54,216.46,419.32,218.55,421.58,223.34,422.7,237.3,424.02,246.87,423.51,263.5,431.7,260.36,432.83,259.16,413.5,255.57,404.41,234.61,406.2,220,391.96,207,390.21,193.02,390.48,185.52,382.92,186.99,389.88,189.1,382.37,189.04,411.83,182,390.05,186.96,396.26,186,384.56,186,372.8,184.04,377.37,183.03,376.57,179.98,383.04,181,380,183,378.89,180.99,379.25,181,368.94,188.04,370.23,188.81,389.43,193.6,399.07,196.98,408.4,196.51,406.89,203.05,392.78,232.22,384.68,255.33,372.58,271.43,398.7,256.25,393.14,260.81,359.75,267.22
494.74,200.11,489.79,199.04,485.04,196.95,474.46,205.54,475.85,210.17,475,218,480.03,220.87,489.93,211.05,494.19,208.8,492.85,207.14,501.63,196.42,501.33,199.88,510.02,208.99,514.17,208.92,515.94,221,460.47,213.97,471.31,206.29,460.08,190.96,450.24,186.04,441.83,189.15,434.82,194.2,436.63,194.31,437.81,199.15,437.97,212.92,438.91,222.73,440.52,240.59,449.02,236.87,452.68,237.24,438.95,244.01,432.75,228.11,435.38,215,421.23,204,419.61,192.02,421.04,185,413.58,184.97,418.55,184.03,410.52,182.9,439.88,181,418.99,181,426,184,414.98,187,403.79,184.91,407.51,185.97,407.99,182,414.6,182,409.54,181,410.12,180.06,411.43,178.87,398.53,183.01,398.33,181,412.93,189,422.03,189.98,429.9,184.04,424.69,186.33,409.38,213.6,403.61,233.5,396.48,252.52,417.03,237.97,412.49,247.52,387.16,259.87
522,190,515.29,185.78,510.14,182.9,494.92,183.09,492,186.5,486.97,193.2,490.96,196.11,503.06,188.75,511.48,188.51,511.85,189.16,520.39,183.61,521.06,190.97,531.35,203.11,537.05,205,540.19,220,490.22,219.19,502.15,209.01,491.71,191,479,178,467.68,177.43,458.91,177.04,459.9,174.12,459.19,176.81,451.97,188.08,451.29,197.57,452.04,215.55,462.12,211.85,468.03,213.12,460.96,225.04,458.54,215.36,464.07,209,451.67,201.3,448.6,196,452.35,187.9,444.24,184.97,449.17,182.87,441.14,182,467.96,184.01,450.36,182.11,455.51,186.5,446.4,189.92,434.34,188.99,437.68,191,438.44,186,446.09,183.08,440.57,182,442.22,181.18,442.1,180,429.76,181.2,427.52,180,437.61,184.97,444.48,181.53,451.82,173.08,442.87,169.06,423.52,193.48,418.96,210.32,416.08,228.84,431.34,217.55,428.75,229.25,411.16,243.82
548.6,178.45,540.17,170.84,535.22,168.8,518.68,166.29,513.58,165.41,505.25,170.76,504.75,172.35,517.16,166.85,528.04,167.95,531.58,171.43,538.62,169.35,540.31,180.7,552.29,195.98,559.64,200.31,563.95,218,520.69,223,533.36,211,523.37,189,507.8,170.04,493.68,166.26,483.86,162.16,484.15,156.81,482.09,156.94,468.04,163.94,465,173,460,189.09,468.82,184.22,475.01,185.62,477.44,201.44,482.8,198.31,489.08,193.97,481.22,196.86,477.34,196.21,482.2,194.02,474.37,189.99,479,186,471.29,186.12,494.14,191.06,479.55,189.56,481.7,196.01,474.14,201.12,463.66,195.71,467.44,196.99,468.43,190.92,476.82,185.85,472.06,182,473.05,182.99,474.17,182.14,460.28,180.04,457.71,179,462.4,180.98,468.13,175.94,475.4,166.01,462.74,156.26,438.39,173.62,431.02,185.96,430.97,203.49,441.96,195.83,442.05,209.89,433.15,223.85
571.96,158.04,562.24,149.8,558.19,148.81,541.43,146.59,535.38,145.72,525.13,148.89,519.03,148.75,534.07,145.93,546.06,147.91,551.04,152.96,556.62,154.38,559.03,168.97,572.24,186.79,580.92,193.06,587.15,214.88,551.52,221.9,564.66,209.29,555.02,187,535.78,160,519.3,153.83,508.68,147.04,508.66,140.21,506.02,139.98,487.09,140.91,477.96,148.03,465.09,161.27,472.01,154.85,475.46,156.46,488.13,175.66,499.97,174.12,509.74,172.27,506.52,182.48,506.28,191.9,512.99,194,504.02,196,508.2,190.1,500.44,192.14,518.24,203.12,507.66,199.69,507.45,206.91,500.81,214.87,490.63,207.68,494.94,207.96,496.1,201.06,505.36,196.03,501.19,188.98,502.31,189.93,503.11,189.06,490.91,183,488.38,181,488.54,179.97,492.97,173.02,498.65,158.24,483.59,145.88,454.72,154.28,443,161.61,441.63,176.41,450.91,173.57,450.36,188.73,447.73,199.33
590.97,134.18,577.86,125.13,575.96,125.03,558.01,122.74,552.64,122.46,543.59,126.54,535.94,126.13,549.48,124.43,561.98,127.14,570.33,133.97,574.08,137.92,576.95,155.02,592.29,177.76,601.94,185.02,609.72,210.35,581.38,223,595.69,204.99,583.9,178.98,563.02,147.99,543.93,139.08,533.17,130.91,532.76,122.25,529.96,123.04,506.08,117.83,493.02,123.89,469.7,133.33,474,126.93,477,126.78,493.98,147.92,513.38,148.61,529.05,148.83,530.05,162.98,533.46,181.9,542.85,191.95,534.77,198.19,537.56,194.11,528.12,201.06,543.54,210.09,536.1,209.05,533.08,217.99,527.23,229.28,517.13,221.11,521.96,220,522.4,214.39,533.51,206.47,530.31,196,530.34,199.97,531.59,196.64,519.42,188.42,516.64,188,514.19,180,517.9,170,522.74,152.24,504.03,134.99,473.06,136.94,455.56,137.45,449.01,148.07,457.86,150.41,460.01,167.99,462.98,175.01
607.51,109.4,591.28,99.693,590.94,100.29,570.08,97.243,565.45,97.542,556.73,102.2,547.6,101.47,564.97,103.05,576.98,106.04,587.5,114.47,590.85,121.25,594.38,139.62,610.54,163.93,622.97,177.02,631.86,205.07,611.7,219.1,624.45,196,612.65,171.01,589.25,133.71,568.63,124.38,556.72,112.28,554.02,100.67,551.84,102.16,524.64,95.302,507.44,99.558,475.99,106.15,476,97.955,475,98.867,499.01,119.66,525.36,122.65,544.98,124.2,552,141,559.58,169.43,573.11,186.91,565.81,195.08,567.8,191.96,559.2,202.98,569.75,217.05,564.64,218.01,558.71,229.1,554.19,242.25,544.12,233.1,549.34,231.28,549.76,225.79,562.48,215,560.3,201.29,559.17,208.01,560.81,205.03,547.85,194,544.54,191.55,539.35,180.97,540.75,166.92,545.6,143.38,524.56,123.88,491.63,120.31,468.54,113.46,460.1,121.33,466.26,127.73,466.11,146.76,473.09,148.83
625,85,604,74,604,75,580,71,576,72,567,77,557,76,576,80,589,84,604,95,606,104,612,125,630,154,643,167,653,198,641,213,654,189,640,160,615,118,592,106,579,92,575,79,572,80,540,71,521,75,482,79,476,68,473,70,501,90,536,96,560,100,573,120,586,158,604,183,596,194,599,192,588,204,596,222,595,223,586,236,582,253,571,245,577,242,577,237,592,222,590,207,589,214,591,211,578,198,574,196,564,181,565,165,569,136,545,113,511,104,483,90,469,94,472,104,473,125,484,123
